Date_,Year_,Month_,Day_,Mean_temp,Total_Precip,Season,Rain,Snow
1996-01-01,1996,1,1,-6.7,72.6,Winter,Yes,Yes
1995-01-01,1995,1,1,-3.1,133.3,Winter,Yes,Yes
1994-01-01,1994,1,1,-12.4,61,Winter,Yes,Yes
1993-01-01,1993,1,1,-4,70.6,Winter,Yes,Yes
1992-01-01,1992,1,1,-4.2,37.2,Winter,Yes,Yes
1991-01-01,1991,1,1,-5.7,33.6,Winter,Yes,Yes
1990-01-01,1990,1,1,-0.8,36.7,Winter,Yes,Yes
1989-01-01,1989,1,1,-2.2,25.9,Winter,Yes,Yes
1988-01-01,1988,1,1,-4.5,21.5,Winter,Yes,Yes
1987-01-01,1987,1,1,-4.6,56.6,Winter,Yes,Yes
1986-01-01,1986,1,1,-5.6,26.5,Winter,Yes,Yes
1985-01-01,1985,1,1,-8.4,76.6,Winter,Yes,Yes
1984-01-01,1984,1,1,-9.7,30.2,Winter,Yes,Yes
1983-01-01,1983,1,1,-4.1,33.7,Winter,Yes,Yes
1982-01-01,1982,1,1,-10.1,54.3,Winter,Yes,Yes
1981-01-01,1981,1,1,-10.2,11.9,Winter,No,Yes
1980-01-01,1980,1,1,-5.1,37.8,Winter,Yes,Yes
1979-01-01,1979,1,1,-7.7,69.6,Winter,Yes,Yes
1978-01-01,1978,1,1,-8.6,69.2,Winter,Yes,Yes
1977-01-01,1977,1,1,-11.7,36.9,Winter,No,Yes
1976-01-01,1976,1,1,-10.1,52.3,Winter,Yes,Yes
1975-01-01,1975,1,1,-3.4,51.6,Winter,Yes,Yes
1974-01-01,1974,1,1,-5.9,66.8,Winter,Yes,Yes
1973-01-01,1973,1,1,-4.3,34.3,Winter,Yes,Yes
1972-01-01,1972,1,1,-6,37.8,Winter,Yes,Yes
1971-01-01,1971,1,1,-9.2,29.2,Winter,Yes,Yes
1970-01-01,1970,1,1,-10.9,25.7,Winter,Yes,Yes
1969-01-01,1969,1,1,-6.5,50.3,Winter,Yes,Yes
1968-01-01,1968,1,1,-8.8,82,Winter,Yes,Yes
1967-01-01,1967,1,1,-3.5,55.4,Winter,Yes,Yes
1966-01-01,1966,1,1,-8.2,60.7,Winter,Yes,Yes
1965-01-01,1965,1,1,-6.9,70.1,Winter,Yes,Yes
1964-01-01,1964,1,1,-4,58.7,Winter,Yes,Yes
1963-01-01,1963,1,1,-8.6,25.9,Winter,Yes,Yes
1962-01-01,1962,1,1,-7.3,67.6,Winter,Yes,Yes
1961-01-01,1961,1,1,-8.1,10.9,Winter,No,Yes
1960-01-01,1960,1,1,-5.1,68.1,Winter,Yes,Yes
1959-01-01,1959,1,1,-7.2,65.5,Winter,Yes,Yes
1958-01-01,1958,1,1,-5.1,25.1,Winter,No,Yes
1957-01-01,1957,1,1,-8.5,55.9,Winter,Yes,Yes
1956-01-01,1956,1,1,-5.7,42.9,Winter,Yes,Yes
1955-01-01,1955,1,1,-5.8,37.1,Winter,Yes,Yes
1954-01-01,1954,1,1,-8,52.3,Winter,Yes,Yes
1953-01-01,1953,1,1,-2.9,43.2,Winter,Yes,Yes
1952-01-01,1952,1,1,-4.7,67.3,Winter,Yes,Yes
1951-01-01,1951,1,1,-4.3,60.5,Winter,Yes,Yes
1950-01-01,1950,1,1,-1.8,96.5,Winter,Yes,Yes
1949-01-01,1949,1,1,-2.9,69.3,Winter,Yes,Yes
1948-01-01,1948,1,1,-9.7,40.1,Winter,Yes,Yes
1947-01-01,1947,1,1,-4.6,98.3,Winter,Yes,Yes
1946-01-01,1946,1,1,-5.3,97.5,Winter,Yes,Yes
1945-01-01,1945,1,1,-11.9,40.1,Winter,Yes,Yes
1944-01-01,1944,1,1,-2.7,20.1,Winter,Yes,Yes
1943-01-01,1943,1,1,-9.1,70.9,Winter,Yes,Yes
1942-01-01,1942,1,1,-5.5,37.1,Winter,Yes,Yes
1941-01-01,1941,1,1,-6.9,71.1,Winter,Yes,Yes
1940-01-01,1940,1,1,-9.4,48.3,Winter,Yes,Yes
1939-01-01,1939,1,1,-6.7,48.3,Winter,Yes,Yes
1938-01-01,1938,1,1,-7.2,40.4,Winter,Yes,Yes
2018-02-28,"2,018",2,28,9,0,Winter,No,No
2018-02-27,"2,018",2,27,6,0,Winter,No,No
2018-02-26,"2,018",2,26,3,0,Winter,No,No
2018-02-25,"2,018",2,25,7,5,Winter,Yes,No
2018-02-24,"2,018",2,24,3,0,Winter,No,No
2018-02-23,"2,018",2,23,3,3,Winter,Yes,No
2018-02-22,"2,018",2,22,-1,0,Winter,No,No
2018-02-21,"2,018",2,21,6,8,Winter,Yes,No
2018-02-20,"2,018",2,20,10,8,Winter,Yes,No
2018-02-19,"2,018",2,19,1,13,Winter,Yes,No
2018-02-18,"2,018",2,18,0,0,Winter,No,No
2018-02-17,"2,018",2,17,-4,0,Winter,No,No
2018-02-16,"2,018",2,16,-2,0,Winter,No,No
2018-02-15,"2,018",2,15,5,0,Winter,No,No
2018-02-14,"2,018",2,14,1,0,Winter,No,No
2018-02-13,"2,018",2,13,-8,0,Winter,No,No
2018-02-12,"2,018",2,12,-8,0,Winter,No,No
2018-02-11,"2,018",2,11,-4,3,Winter,No,Yes
2018-02-10,"2,018",2,10,-6,6,Winter,No,Yes
2018-02-09,"2,018",2,9,-8,6,Winter,No,Yes
2018-02-08,"2,018",2,8,-10,0,Winter,No,No
2018-02-07,"2,018",2,7,-9,7,Winter,No,Yes
2018-02-06,"2,018",2,6,-8,0,Winter,No,No
2018-02-05,"2,018",2,5,-11,0,Winter,No,No
2018-02-04,"2,018",2,4,-4,5,Winter,No,Yes
2018-02-03,"2,018",2,3,-7,2,Winter,No,Yes
2018-02-02,"2,018",2,2,-13,0,Winter,No,No
2018-02-01,"2,018",2,1,-3,0,Winter,No,No
2017-02-28,"2,017",2,28,5,3,Winter,Yes,No
2017-02-27,"2,017",2,27,5,0,Winter,No,No
2017-02-26,"2,017",2,26,-1,0,Winter,No,No
2017-02-25,"2,017",2,25,3,12,Winter,Yes,No
2017-02-24,"2,017",2,24,4,7,Winter,Yes,No
2017-02-23,"2,017",2,23,11,0,Winter,No,No
2017-02-22,"2,017",2,22,6,0,Winter,No,No
2017-02-21,"2,017",2,21,3,1,Winter,Yes,No
2017-02-20,"2,017",2,20,2,0,Winter,No,No
2017-02-19,"2,017",2,19,7,0,Winter,No,No
2017-02-18,"2,017",2,18,4,0,Winter,No,No
2017-02-17,"2,017",2,17,-3,0,Winter,No,No
2017-02-16,"2,017",2,16,-7,0,Winter,No,No
2017-02-15,"2,017",2,15,-2,0,Winter,No,No
2017-02-14,"2,017",2,14,-2,0,Winter,No,No
2017-02-13,"2,017",2,13,-4,0,Winter,No,No
2017-02-12,"2,017",2,12,-2,14,Winter,No,Yes
2017-02-11,"2,017",2,11,0,0,Winter,No,No
2017-02-10,"2,017",2,10,-5,4,Winter,No,Yes
2017-02-09,"2,017",2,9,-8,0,Winter,No,No
2017-02-08,"2,017",2,8,-2,0,Winter,No,No
2017-02-07,"2,017",2,7,1,15,Winter,Yes,No
2017-02-06,"2,017",2,6,-2,0,Winter,No,No
2017-02-05,"2,017",2,5,-2,1,Winter,No,Yes
2017-02-04,"2,017",2,4,-6,0,Winter,No,No
2017-02-03,"2,017",2,3,-7,0,Winter,No,No
2017-02-02,"2,017",2,2,-5,0,Winter,No,No
2017-02-01,"2,017",2,1,-1,0,Winter,No,No
2016-02-29,"2,016",2,29,1,0,Winter,No,No
2016-02-28,"2,016",2,28,8,0,Winter,No,No
2016-02-27,"2,016",2,27,-1,0,Winter,No,No
2016-02-26,"2,016",2,26,-7,0,Winter,No,No
2016-02-25,"2,016",2,25,-3,3,Winter,Yes,Yes
2016-02-24,"2,016",2,24,1,24,Winter,Yes,Yes
2016-02-23,"2,016",2,23,-1,0,Winter,No,No
2016-02-22,"2,016",2,22,-2,,Winter,No,No
2016-02-21,"2,016",2,21,2,0,Winter,No,No
2016-02-20,"2,016",2,20,8,0,Winter,No,No
2016-02-19,"2,016",2,19,2,,Winter,No,No
2016-02-18,"2,016",2,18,-10,0,Winter,No,No
2016-02-17,"2,016",2,17,-6,1,Winter,No,Yes
2016-02-16,"2,016",2,16,-1,7,Winter,No,Yes
2016-02-15,"2,016",2,15,-6,0,Winter,No,No
2016-02-14,"2,016",2,14,-17,0,Winter,No,No
2016-02-13,"2,016",2,13,-21,0,Winter,No,No
2016-02-12,"2,016",2,12,-10,1,Winter,No,Yes
2016-02-11,"2,016",2,11,-13,0,Winter,No,No
2016-02-10,"2,016",2,10,-7,1,Winter,No,Yes
2016-02-09,"2,016",2,9,-1,1,Winter,No,Yes
2016-02-08,"2,016",2,8,2,1,Winter,No,Yes
2016-02-07,"2,016",2,7,2,0,Winter,No,No
2016-02-06,"2,016",2,6,1,0,Winter,No,No
2016-02-05,"2,016",2,5,0,0,Winter,No,No
2016-02-04,"2,016",2,4,1,0,Winter,No,No
2016-02-03,"2,016",2,3,9,3,Winter,Yes,No
2016-02-02,"2,016",2,2,0,4,Winter,Yes,No
2016-02-01,"2,016",2,1,4,0,Winter,No,No
2015-02-28,"2,015",2,28,-12,0,Winter,No,No
2015-02-27,"2,015",2,27,-15,0,Winter,No,No
2015-02-26,"2,015",2,26,-14,0,Winter,No,No
2015-02-25,"2,015",2,25,-12,0,Winter,No,No
2015-02-24,"2,015",2,24,-15,0,Winter,No,No
2015-02-23,"2,015",2,23,-18,0,Winter,No,No
2015-02-22,"2,015",2,22,-10,0,Winter,No,No
2015-02-21,"2,015",2,21,-11,8,Winter,No,Yes
2015-02-20,"2,015",2,20,-19,0,Winter,No,No
2015-02-19,"2,015",2,19,-18,0,Winter,No,No
2015-02-18,"2,015",2,18,-12,1,Winter,No,Yes
2015-02-17,"2,015",2,17,-13,0,Winter,No,No
2015-02-16,"2,015",2,16,-19,0,Winter,No,No
2015-02-15,"2,015",2,15,-22,0,Winter,No,No
2015-02-14,"2,015",2,14,-14,0,Winter,No,No
2015-02-13,"2,015",2,13,-16,0,Winter,No,No
2015-02-12,"2,015",2,12,-11,0,Winter,No,No
2015-02-11,"2,015",2,11,-6,1,Winter,No,Yes
2015-02-10,"2,015",2,10,-8,0,Winter,No,No
2015-02-09,"2,015",2,9,-12,0,Winter,No,No
2015-02-08,"2,015",2,8,-11,,Winter,No,Yes
2015-02-07,"2,015",2,7,-5,5,Winter,No,Yes
2015-02-06,"2,015",2,6,-9,1,Winter,No,Yes
2015-02-05,"2,015",2,5,-12,0,Winter,No,No
2015-02-04,"2,015",2,4,-6,1,Winter,No,Yes
2015-02-03,"2,015",2,3,-11,1,Winter,No,Yes
2015-02-02,"2,015",2,2,-14,6,Winter,No,Yes
2015-02-01,"2,015",2,1,-9,7,Winter,No,Yes
2014-02-28,"2,014",2,28,-14,0,Winter,No,No
2014-02-27,"2,014",2,27,-13,0,Winter,No,No
2014-02-26,"2,014",2,26,-13,0,Winter,No,No
2014-02-25,"2,014",2,25,-9,0,Winter,No,No
2014-02-24,"2,014",2,24,-8,0,Winter,No,No
2014-02-23,"2,014",2,23,-4,0,Winter,No,No
2014-02-22,"2,014",2,22,0,0,Winter,No,No
2014-02-21,"2,014",2,21,2,6,Winter,Yes,No
2014-02-20,"2,014",2,20,0,15,Winter,Yes,Yes
2014-02-19,"2,014",2,19,0,0,Winter,No,No
2014-02-18,"2,014",2,18,-3,4,Winter,No,Yes
2014-02-17,"2,014",2,17,-10,1,Winter,No,Yes
2014-02-16,"2,014",2,16,-12,0,Winter,No,No
2014-02-15,"2,014",2,15,-9,0,Winter,No,No
2014-02-14,"2,014",2,14,-4,0,Winter,No,No
2014-02-13,"2,014",2,13,-9,0,Winter,No,No
2014-02-12,"2,014",2,12,-14,0,Winter,No,No
2014-02-11,"2,014",2,11,-14,0,Winter,No,No
2014-02-10,"2,014",2,10,-10,0,Winter,No,No
2014-02-09,"2,014",2,9,-12,2,Winter,No,Yes
2014-02-08,"2,014",2,8,-14,0,Winter,No,No
2014-02-07,"2,014",2,7,-13,0,Winter,No,No
2014-02-06,"2,014",2,6,-12,0,Winter,No,No
2014-02-05,"2,014",2,5,-11,11,Winter,No,Yes
2014-02-04,"2,014",2,4,-10,1,Winter,No,Yes
2014-02-03,"2,014",2,3,-9,0,Winter,No,No
2014-02-02,"2,014",2,2,-4,0,Winter,No,No
2014-02-01,"2,014",2,1,-2,12,Winter,No,Yes
2013-02-01,2013,2,1,-4.6,92,Winter,Yes,Yes
2012-02-01,2012,2,1,-0.3,26.6,Winter,Yes,Yes
2011-02-01,2011,2,1,-5.4,47,Winter,Yes,Yes
2010-02-01,2010,2,1,-3.4,24.8,Winter,No,Yes
2009-02-01,2009,2,1,-3.7,73.6,Winter,Yes,Yes
2008-02-01,2008,2,1,-5.3,107.6,Winter,Yes,Yes
2007-02-01,2007,2,1,-8.4,24.6,Winter,No,Yes
2006-02-01,2006,2,1,-3.6,74.8,Winter,Yes,Yes
2005-02-01,2005,2,1,-4,75.6,Winter,Yes,Yes
2004-02-01,2004,2,1,-3.8,20.8,Winter,Yes,Yes
2003-02-01,2003,2,1,-7,46.8,Winter,Yes,Yes
2002-02-01,2002,2,1,-1.3,38.4,Winter,Yes,Yes
2001-02-01,2001,2,1,-3,94,Winter,Yes,Yes
2000-02-01,2000,2,1,-3.1,48.4,Winter,Yes,Yes
1999-02-01,1999,2,1,-1.6,27.4,Winter,Yes,Yes
1998-02-01,1998,2,1,-0.3,45.8,Winter,Yes,Yes
1997-02-01,1997,2,1,-3.2,78.6,Winter,Yes,Yes
1996-02-01,1996,2,1,-5.8,38.2,Winter,Yes,Yes
1995-02-01,1995,2,1,-7.3,20.8,Winter,Yes,Yes
1994-02-01,1994,2,1,-8.3,20.2,Winter,No,Yes
1993-02-01,1993,2,1,-8.4,26.6,Winter,No,Yes
1992-02-01,1992,2,1,-3.9,35,Winter,Yes,Yes
1991-02-01,1991,2,1,-2.4,23.5,Winter,Yes,Yes
1990-02-01,1990,2,1,-3.5,76.9,Winter,Yes,Yes
1989-02-01,1989,2,1,-6.5,19,Winter,Yes,Yes
1988-02-01,1988,2,1,-6.8,64.6,Winter,Yes,Yes
1987-02-01,1987,2,1,-5.8,14.8,Winter,Yes,Yes
1986-02-01,1986,2,1,-6.1,32,Winter,Yes,Yes
1985-02-01,1985,2,1,-5.8,83.1,Winter,Yes,Yes
1984-02-01,1984,2,1,-1.5,59,Winter,Yes,Yes
1983-02-01,1983,2,1,-3.1,40.6,Winter,Yes,Yes
1982-02-01,1982,2,1,-7.6,28.3,Winter,Yes,Yes
1981-02-01,1981,2,1,-2.1,66.2,Winter,Yes,Yes
1980-02-01,1980,2,1,-7.8,16.1,Winter,Yes,Yes
1979-02-01,1979,2,1,-10.8,33.5,Winter,Yes,Yes
1978-02-01,1978,2,1,-9.9,9.1,Winter,No,Yes
1977-02-01,1977,2,1,-6,26.3,Winter,Yes,Yes
1976-02-01,1976,2,1,-2.8,59.2,Winter,Yes,Yes
1975-02-01,1975,2,1,-3.9,72.4,Winter,Yes,Yes
1974-02-01,1974,2,1,-8,45.2,Winter,Yes,Yes
1973-02-01,1973,2,1,-7.6,36.3,Winter,Yes,Yes
1972-02-01,1972,2,1,-8,59.7,Winter,Yes,Yes
1971-02-01,1971,2,1,-5.2,71.1,Winter,Yes,Yes
1970-02-01,1970,2,1,-6.6,29.7,Winter,Yes,Yes
1969-02-01,1969,2,1,-5.1,15.7,Winter,Yes,Yes
1968-02-01,1968,2,1,-7.6,37.8,Winter,Yes,Yes
1967-02-01,1967,2,1,-8.7,42.4,Winter,Yes,Yes
1966-02-01,1966,2,1,-5.3,30.5,Winter,Yes,Yes
1965-02-01,1965,2,1,-5.9,107.2,Winter,Yes,Yes
1964-02-01,1964,2,1,-6.1,28.7,Winter,No,Yes
1963-02-01,1963,2,1,-9.4,13.5,Winter,Yes,Yes
1962-02-01,1962,2,1,-8.1,86.1,Winter,Yes,Yes
1961-02-01,1961,2,1,-3,59.2,Winter,Yes,Yes
1960-02-01,1960,2,1,-4.4,64.8,Winter,Yes,Yes
1959-02-01,1959,2,1,-7.6,74.2,Winter,Yes,Yes
1958-02-01,1958,2,1,-7.7,36.8,Winter,Yes,Yes
1957-02-01,1957,2,1,-4,58.2,Winter,Yes,Yes
1956-02-01,1956,2,1,-4.5,46.5,Winter,Yes,Yes
1955-02-01,1955,2,1,-5.3,38.6,Winter,Yes,Yes
1954-02-01,1954,2,1,-1.9,59.9,Winter,Yes,Yes
1953-02-01,1953,2,1,-2.4,36.1,Winter,Yes,Yes
1952-02-01,1952,2,1,-3.7,40.9,Winter,Yes,Yes
1951-02-01,1951,2,1,-4.4,44.2,Winter,Yes,Yes
1950-02-01,1950,2,1,-6.6,72.1,Winter,Yes,Yes
1949-02-01,1949,2,1,-3.6,75.9,Winter,Yes,Yes
1948-02-01,1948,2,1,-7.8,67.1,Winter,Yes,Yes
1947-02-01,1947,2,1,-7.2,27.2,Winter,No,Yes
1946-02-01,1946,2,1,-6.9,57.9,Winter,Yes,Yes
1945-02-01,1945,2,1,-6,47.8,Winter,Yes,Yes
1944-02-01,1944,2,1,-6,63.2,Winter,Yes,Yes
1943-02-01,1943,2,1,-5.2,48.8,Winter,Yes,Yes
1942-02-01,1942,2,1,-7.7,41.1,Winter,Yes,Yes
1941-02-01,1941,2,1,-6.2,31,Winter,Yes,Yes
1940-02-01,1940,2,1,-6.2,34,Winter,Yes,Yes
